text,label
question about cancelling order {{Order Number}},cancel_order
i have a question about cancelling oorder {{Order Number}},cancel_order
i need help cancelling puchase {{Order Number}},cancel_order
I need to cancel purchase {{Order Number}},cancel_order
"I cannot afford this order, cancel purchase {{Order Number}}",cancel_order
can you help me cancel order {{Order Number}}?,cancel_order
"I can no longer afford order {{Order Number}}, cancel it",cancel_order
I am trying to cancel purchase {{Order Number}},cancel_order
I have got to cancel purchase {{Order Number}},cancel_order
i need help canceling purchase {{Order Number}},cancel_order
i dont know what to do to cancel order {{Order Number}},cancel_order
I have a problem with cancelling purchase {{Order Number}},cancel_order
problem with canceling purchase {{Order Number}},cancel_order
can you help me canceling order {{Order Number}}?,cancel_order
help  me canceling purchase {{Order Number}},cancel_order
can you help me cancel purchase {{Order Number}}?,cancel_order
what do I have to do to cancel purchase {{Order Number}}?,cancel_order
"I bought the same item twice, cancel order {{Order Number}}",cancel_order
need help with canceling order {{Order Number}},cancel_order
i want assistance canceling order {{Order Number}},cancel_order
I'm trying to cancel order {{Order Number}},cancel_order
i have problems with canceling order {{Order Number}},cancel_order
assistance with cancelling pucrhase {{Order Number}},cancel_order
need help with canceling purchase {{Order Number}},cancel_order
help cnceling order {{Order Number}},cancel_order
i want assistance cancelling order {{Order Number}},cancel_order
need assistance cancelling order {{Order Number}},cancel_order
problem with cancelling order {{Order Number}},cancel_order
assistnace cancelling order {{Order Number}},cancel_order
have a problem with canceling order {{Order Number}},cancel_order
i need help with canceling purchase {{Order Number}},cancel_order
want assistance to cancel order  {{Order Number}},cancel_order
i do not know how i can cancel purchase {{Order Number}},cancel_order
need assistance to cancel order {{Order Number}},cancel_order
I can no longer afford purchase {{Order Number}},cancel_order
i need assistance canceling purchase {{Order Number}},cancel_order
I would like to cancel purchase {{Order Number}},cancel_order
i do not want these article i try to cancel order {{Order Number}},cancel_order
i need help to cancel purchase {{Order Number}},cancel_order
problems with cancelling order {{Order Number}},cancel_order
I need help canceling purchase {{Order Number}},cancel_order
assistance canceling purchase {{Order Number}},cancel_order
could ya help me cancel order {{Order Number}},cancel_order
could you help me cancelling order {{Order Number}} ?,cancel_order
cance order {{Order Number}},cancel_order
assistance cancelling purchase {{Order Number}},cancel_order
assistance with canceling purchase {{Order Number}},cancel_order
canceling order {{Order Number}},cancel_order
how to cancel order {{Order Number}},cancel_order
help me cancelling purchase {{Order Number}},cancel_order
have a question about cancelling order {{Order Number}},cancel_order
I can't afford purchase {{Order Number}},cancel_order
"I ordered some item, cancel purchase {{Order Number}}",cancel_order
i need help cancelling order {{Order Number}},cancel_order
"I can't afford order {{Order Number}}, help me cancelling it",cancel_order
I do not know how I can cancel purchase {{Order Number}},cancel_order
I try to cancel purchase {{Order Number}},cancel_order
"I cannot pay for the last purchase I have made, cancel it",cancel_order
could you help me cancel purchase {{Order Number}}?,cancel_order
I want to cancle purchase {{Order Number}},cancel_order
help me to cancel my  last goddamn purchase,cancel_order
I have a problem witrh cancelling purchase {{Order Number}},cancel_order
can  uhelp me canceling order {{Order Number}},cancel_order
problems with canceling purchase {{Order Number}},cancel_order
I need assistancde cancelling order {{Order Number}},cancel_order
"I bought some item, cancel order {{Order Number}}",cancel_order
need help with cancelling order {{Order Number}},cancel_order
"I can't pay for this item, can I cancel order {{Order Number}}?",cancel_order
I need help cacneling order {{Order Number}},cancel_order
where could I cancel purchase {{Order Number}}?,cancel_order
i bought some damn item help to cancep order {{Order Number}},cancel_order
want assistance to cancel order {{Order Number}},cancel_order
"I have got to cancel purchase {{Order Number}}, help me",cancel_order
whag do i need to do to cancel order {{Order Number}},cancel_order
I want assistance canceling order {{Order Number}},cancel_order
I want assistance to cancel purchase {{Order Number}},cancel_order
cancelling order,cancel_order
i want help cancelling purchase {{Order Number}},cancel_order
what do I have to do to cancel order {{Order Number}}?,cancel_order
can you help me to cancel purchase {{Order Number}}?,cancel_order
I need help cancelling order {{Order Number}},cancel_order
i want help to cancel purchase {{Order Number}},cancel_order
