text,label
I need to check the payment methods,check_payment_methods
can ya tell me about modifying the shipping  address,change_shipping_address
have problems with the cancellation of my {{Account Type}} account,delete_account
in which cases can I request refunds?,check_refund_policy
I want help seeing in which cases can I ask for a refund,check_refund_policy
see bill #12588,check_invoice
I can't locate purchase {{Order Number}},track_order
I do not know how I could remove the {{Account Type}} account,delete_account
changing info on standard account,edit_account
assistance to cancel purchase {{Order Number}},cancel_order
i dont know how i can create a freemium account,create_account
"I need to edit my bloody user, will you help me?",edit_account
I don't know what I have to do to file a customer claim,complaint
"I submitted a wrong address, edit it",change_shipping_address
how to change to the gold account?,switch_account
where to check the termination fee?,check_cancellation_fee
I do not know what to do to get bill #00108,get_invoice
help to locate my bills from {{Person Name}},check_invoice
I want help changing to the {{Account Category}} account,switch_account
I don't know how to check how soon can I expect the product,delivery_period
can I see invoice #00108?,check_invoice
modifying platinum account,edit_account
can you help me using the platinum profile?,switch_account
want help to find my invoice ffom {{Person Name}},check_invoice
I do not know what I need to do to check the withdrawal fees,check_cancellation_fee
can ya help me recovering my userprofile pass,recover_password
I have got to report a trouble with online payment,payment_issue
check at what time i can contact customer assistance,contact_customer_service
i cannot chat with an assistant,contact_human_agent
help to talk to customer service,contact_customer_service
I don't know how to speak with a fucking assistant,contact_human_agent
need to contact customer service how do i do it,contact_customer_service
I want support modifying my address,change_shipping_address
i want help downloading my invoices from {{Person Name}},get_invoice
i have to get the invoices from {{Person Name}},get_invoice
"I have to see my bill, help me",check_invoice
how can I file a reclamation?,complaint
what do i have to do to report an issue with a registration,registration_problems
edit details oon {{Account Type}} account,edit_account
where do i set a different deivery address up,set_up_shipping_address
help me see the allowed payment options,check_payment_methods
i need help purchasing several items,place_order
can ya help me receive ur company newsletter,newsletter_subscription
wannaclose a pro account,delete_account
I try to check at what time I can reach customer assistance,contact_customer_service
I try to see purchase {{Order Number}} current status,track_order
I need assistance enteirng another delivery address,set_up_shipping_address
"I don't have a premium account, I want to open one",create_account
"I have lost the key of my account, I want to reset it",recover_password
how could I edit my damn user?,edit_account
i need assistance to check how long refunds take,check_refund_policy
i do not know what to do to modify the user info,edit_account
i need help to see the goddamn allowed payment methods,check_payment_methods
help me switch to the freemium  account,switch_account
"I ain't registered, how to open a {{Account Category}} account?",create_account
could you show me in which situations can I request refunds?,check_refund_policy
I am trying to get my invoice from {{Person Name}},get_invoice
"I don't use the pro account, I am trying to delete it",delete_account
"I am unhappy with your service, help me to make a claim",complaint
I need to unsubscribe to your newsletter,newsletter_subscription
I want help to check how soon can I expect my package,delivery_period
I don't know how I can check your refund policy,check_refund_policy
i need information about {{Account Category}} account cancellations,delete_account
is it possible to check what shipping methods I have?,delivery_options
"my address has changed, how could I change it?",change_shipping_address
open a standard account for my dad,create_account
i expect a restitution of {{Currency Symbol}}{{Refund Amount}},track_refund
how to earn some articles,place_order
help downloading invoice #37777,get_invoice
assistance seeing how long it takes for my parcel to arrive,delivery_period
could ya help mw check ur reimbursement policy,check_refund_policy
change to the {{Account Category}} account,switch_account
need to create an {{Account Category}} account,create_account
I'm looking for the options for delivery can i get some help,delivery_options
"I want to edit my user profile, how could I do it?",edit_account
