text,label
"My refund still isn't here",track_refund
"I've been waiting two weeks for my money back",track_refund
"Where is the refund you promised me?",track_refund
"Can I get my money back?",get_refund
"I want a refund for this order",get_refund
"Please give me my money back",get_refund
"Am I allowed to return this for a refund?",check_refund_policy
"What are your refund rules?",check_refund_policy
"Do you have a refund policy?",check_refund_policy
"I can't remember my login password",recover_password
"Please reset my password",recover_password
"I forgot the password to my account",recover_password
"My parcel still hasn't shown up",track_order
"Where is my package?",track_order
"My order is taking forever to arrive",track_order
"I want to cancel the order I just placed",cancel_order
"Please cancel my purchase",cancel_order
"Stop this order before it ships",cancel_order
"I need to change what I ordered",change_order
"Can I modify my order?",change_order
"I chose the wrong item and need to change it",change_order
"I need to use a different delivery address",change_shipping_address
"Can I update the address for my shipment?",change_shipping_address
"My package should go to another address",change_shipping_address
"Do you charge a fee if I cancel?",check_cancellation_fee
"Is there a cancellation penalty?",check_cancellation_fee
"Will I have to pay for cancelling?",check_cancellation_fee
"Can I see my invoice?",check_invoice
"I want to check the invoice details",check_invoice
"Where can I view my bill?",check_invoice
"Which payment methods do you support?",check_payment_methods
"Can I pay with PayPal?",check_payment_methods
"Do you accept debit cards?",check_payment_methods
"I want to complain about the service",complaint
"This experience was terrible",complaint
"I'm unhappy with the service I received",complaint
"How do I contact support?",contact_customer_service
"What's your customer service number?",contact_customer_service
"How can I reach customer support?",contact_customer_service
"I want to speak with a real person",contact_human_agent
"Connect me to a human agent",contact_human_agent
"I don't want to talk to a bot",contact_human_agent
"How do I create an account?",create_account
"I want to register a new account",create_account
"Can I sign up for an account?",create_account
"I want to permanently delete my account",delete_account
"How can I close my account?",delete_account
"Please remove my account",delete_account
"What delivery choices do you have?",delivery_options
"Can I choose express delivery?",delivery_options
"What shipping options are available?",delivery_options
"How long does delivery usually take?",delivery_period
"When should my package arrive?",delivery_period
"What is the normal shipping time?",delivery_period
"I need to change my account details",edit_account
"How can I edit my profile?",edit_account
"I want to update my account information",edit_account
"Please send me my invoice",get_invoice
"I need a copy of my invoice",get_invoice
"How do I download the invoice?",get_invoice
"I want to subscribe to your newsletter",newsletter_subscription
"How can I join the mailing list?",newsletter_subscription
"Sign me up for email updates",newsletter_subscription
"My payment keeps failing",payment_issue
"The transaction won't go through",payment_issue
"My card is being declined",payment_issue
"I want to place an order",place_order
"How can I buy this product?",place_order
"I'd like to make a purchase",place_order
"I can't finish creating my account",registration_problems
"Registration keeps failing",registration_problems
"The sign-up page won't let me register",registration_problems
"I want to leave a review",review
"Where can I rate my experience?",review
"I'd like to give feedback on my order",review
"How do I add a shipping address?",set_up_shipping_address
"I need to set my delivery address",set_up_shipping_address
"Where can I enter my shipping information?",set_up_shipping_address
"I want to use a different account",switch_account
"How do I switch between accounts?",switch_account
"Can I log into another account instead?",switch_account
